,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex ,Ra_ex,R_ex,EL
755,31.346848131999998,2.4640184,663.645429,1173.0519,936.6618239999999,1446.0519,34.030118,5.1016887,8.794064999999998,139.68429999999998,922.4804,24.904406644336003,150.1362,2.4766839999999997e-05,2.2547058,1.36030379e-05,290.28600000000006,2.5975,47.5623,20.292199999999998,52.669500000000006,2.0532,1.3452140000000001,1.3177,751.3380300000001,1472.30888,7085.4870900000005,21525920.0,6.402349999999258e-08,147.19989999999999,140.62130000000002,316.10694700000005,316.10694700000005,519.3929880000002,194.0,0.20824389999999998,0.00016928899999999998,15.0346,9.1462,301.90531057644694,3.1713182606614403,45269.106871775955,279295.15580639,45261.104517313026,279295.15580639,10.906140206076,0.06416515079230996,2.5194610257750005,4348.34643351,54892.82281584,0.09997942633404681,851.2404495600001,1.3367062414399998e-11,2.6947208006463597,3.2639707730635903e-12,6435.928604000001,0.23424375000000003,62.498918710000005,68.69221916,390.81606975,0.07876976,0.01160161420399999,43.97921671,3530.1540387190976,10543.027883145596,2495882.1262363316,18933912153600.0,8.492755947750332e-15,160.30953999,115.27388631,348.34435186919086,348.34435186919086,140.91734691185593,0.0,0.13338095061278998,2.7739884479e-08,55.41640284,9.69782556,300,81.0,25.0,23.6
789,26.6415842068,1.98900222,648.9894056,1104.4331900000002,921.9956336000001,1377.4331900000002,33.156621300000005,5.03485812,8.670327,130.08836000000002,986.7054200000001,24.8316663867264,156.94209,2.4885474e-05,1.81696784,1.3841196650000002e-05,269.5156,2.524425,45.998920000000005,18.167450000000002,47.801390000000005,2.00977,1.3232375,0.289192,743.359095,1459.7888130000001,7514.580577000001,22543756.0,4.976181999999093e-08,145.53002999999998,140.68985,319.107162,319.107162,520.4917166000001,194.0,0.11794633000000002,0.0001234713,13.011149999999999,8.42497,105.36390931998649,1.2216464497550716,9701.636014726686,50862.8405564239,9698.778763782551,50862.8405564239,4.44077437538631,0.02590336579006558,0.146013013071,619.4359525103999,20568.5001026236,0.04047570370970703,256.86791643189997,3.173440195323999e-12,1.0468421861657344,1.2867681852387775e-12,1919.82711664,0.060465919374999996,25.108478833600003,27.4959504975,160.4720640679,0.0096745471,0.004703617593749997,8.476451187136,1334.8727758809744,3949.226120751029,907170.0189702469,5677590212464.0,2.679267950287717e-15,43.9502781991,38.3502969775,138.48246346575596,138.48246346575596,54.98946414928441,0.0,0.056100461229531114,1.020267507631e-08,19.552385677499995,3.9811704991,450,24.0,1.5,17.06
793,26.6415842068,1.98900222,648.9894056,1104.4331900000002,921.9956336000001,1377.4331900000002,33.156621300000005,5.03485812,8.670327,130.08836000000002,986.7054200000001,24.8316663867264,156.94209,2.4885474e-05,1.81696784,1.3841196650000002e-05,269.5156,2.524425,45.998920000000005,18.167450000000002,47.801390000000005,2.00977,1.3232375,0.289192,743.359095,1459.7888130000001,7514.580577000001,22543756.0,4.976181999999093e-08,145.53002999999998,140.68985,319.107162,319.107162,520.4917166000001,194.0,0.11794633000000002,0.0001234713,13.011149999999999,8.42497,105.36390931998649,1.2216464497550716,9701.636014726686,50862.8405564239,9698.778763782551,50862.8405564239,4.44077437538631,0.02590336579006558,0.146013013071,619.4359525103999,20568.5001026236,0.04047570370970703,256.86791643189997,3.173440195323999e-12,1.0468421861657344,1.2867681852387775e-12,1919.82711664,0.060465919374999996,25.108478833600003,27.4959504975,160.4720640679,0.0096745471,0.004703617593749997,8.476451187136,1334.8727758809744,3949.226120751029,907170.0189702469,5677590212464.0,2.679267950287717e-15,43.9502781991,38.3502969775,138.48246346575596,138.48246346575596,54.98946414928441,0.0,0.056100461229531114,1.020267507631e-08,19.552385677499995,3.9811704991,450,24.0,1.5,17.15
791,26.6415842068,1.98900222,648.9894056,1104.4331900000002,921.9956336000001,1377.4331900000002,33.156621300000005,5.03485812,8.670327,130.08836000000002,986.7054200000001,24.8316663867264,156.94209,2.4885474e-05,1.81696784,1.3841196650000002e-05,269.5156,2.524425,45.998920000000005,18.167450000000002,47.801390000000005,2.00977,1.3232375,0.289192,743.359095,1459.7888130000001,7514.580577000001,22543756.0,4.976181999999093e-08,145.53002999999998,140.68985,319.107162,319.107162,520.4917166000001,194.0,0.11794633000000002,0.0001234713,13.011149999999999,8.42497,105.36390931998649,1.2216464497550716,9701.636014726686,50862.8405564239,9698.778763782551,50862.8405564239,4.44077437538631,0.02590336579006558,0.146013013071,619.4359525103999,20568.5001026236,0.04047570370970703,256.86791643189997,3.173440195323999e-12,1.0468421861657344,1.2867681852387775e-12,1919.82711664,0.060465919374999996,25.108478833600003,27.4959504975,160.4720640679,0.0096745471,0.004703617593749997,8.476451187136,1334.8727758809744,3949.226120751029,907170.0189702469,5677590212464.0,2.679267950287717e-15,43.9502781991,38.3502969775,138.48246346575596,138.48246346575596,54.98946414928441,0.0,0.056100461229531114,1.020267507631e-08,19.552385677499995,3.9811704991,450,24.0,1.5,17.1
83,27.37910231,1.9802399999999998,663.4054,1204.7199999999998,936.4159000000001,1477.72,33.1512,5.022620000000001,8.86,140.56,990.2040000000001,24.85706167224,163.95999999999998,2.4373000000000002e-05,1.8073400000000002,1.3804742e-05,268.86,2.4987999999999997,47.67,17.91,47.45,2.08,1.3311000000000002,4.734,724.302,1470.1180000000002,7282.195000000001,23822000.0,6.05699999999909e-08,145.24,140.85,327.20930000000004,327.20930000000004,554.5947000000001,195.60999999999999,118.10911,0.095912,13.229999999999999,8.1,324.1755477981716,1.1489837623999999,5277.31083884,141197.00160000002,5278.52041019,141197.0016,28.19306255999999,0.14738813559999997,0.4088,1815.7664,17538.951984,0.44451094783269984,1329.9984,3.6081709999999993e-12,1.0237165844,2.2358823018360006e-12,4360.1804,0.028720560000000006,141.7611,13.8219,104.2475,0.07359999999999998,0.00882779,276.14984400000003,2107.469196000001,13131.469476000002,2063334.7082749996,35376516000000.0,1.58084851000003e-14,216.66240000000005,89.76750000000001,434.48262050999995,434.48262050999995,88470.21250690999,80.35789999999999,682250.3878881378,0.432654941456,51.4371,0.99,0,0.0,3.75,7.5
236,30.45513077,2.25107,621.0221,1178.385,894.0386000000001,1451.3849999999998,33.50015,5.052785,8.602749999999999,138.185,953.1050000000001,24.852643166079996,155.515,2.4883e-05,2.06746,1.378838e-05,257.135,2.46,47.33,18.395,48.559999999999995,2.1100000000000003,1.3605500000000001,5.6785,740.7779999999999,1468.9865,7241.919,22404500.0,4.728499999999155e-08,144.32500000000002,139.655,320.0462,331.97074999999995,520.3639000000001,192.23499999999999,0.13813,0.0007227500000000001,14.54,8.9,439.29485292873886,2.4655635151000004,9417.86392059,137412.39677499997,9410.129024040001,137412.396775,9.1844814775,0.04686550877499997,0.2826049374999998,1625.390775,42784.663975,0.056607246276115894,553.589775,1.7159109999999997e-12,2.2126064883999996,1.5580964656000003e-12,3001.6167749999995,0.04465,49.521100000000004,30.138975,179.5564,0.1879,0.023459197499999994,521.9776877500001,1822.5992159999994,6006.642567749998,1973416.8163389997,14459829750000.0,2.0183377500006908e-16,14.529375000000002,22.615975000000002,274.1111485599999,3247.534060937499,474.1123887899998,142.50977500000002,0.05728629310000001,1.75019449375e-05,73.1284,8.19,0,0.0,3.75,12.3
707,41.621176919999996,2.644117,748.6988999999999,1402.795,1021.7033999999999,1675.795,36.95919,5.468566000000001,8.9536,157.266,891.8939999999999,26.170833992160002,137.78099999999998,2.27869e-05,2.437188,1.4655310999999999e-05,302.974,2.8705,44.873,18.701999999999998,48.722,2.148,1.3058800000000002,6.3303,722.6104,1419.9179,6795.262899999999,19688400.0,1.9191799999999204e-07,156.561,147.962,325.2482,325.2482,527.94934,193.99999999999997,4900.134661,0.7301249200000001,18.906,8.448,1699.1769550210724,4.250605375311,72229.33276579001,618033.712975,72226.37090043999,618033.712975,114.96866184389995,1.5197673816439996,1.1928320400000005,5713.5032439999995,78973.18476399999,14.985507325480029,2645.3230390000003,3.002459839e-11,3.7573997646560002,5.073234298278999e-12,9455.047324,0.8231697499999999,24.366871000000003,24.241195999999995,131.354716,0.136096,0.0049708256,251.66743191,3476.5014918400016,12275.43918959,4284916.57271359,58731115440000.0,1.4710118327600238e-13,830.200279,361.87855599999995,325.2973057600002,325.2973057600002,403.55270516439924,8.077935669463161e-28,216088680.40607724,4.795917633945794,264.049164,2.957296,450,12.0,2.0,10.0
790,26.6415842068,1.98900222,648.9894056,1104.4331900000002,921.9956336000001,1377.4331900000002,33.156621300000005,5.03485812,8.670327,130.08836000000002,986.7054200000001,24.8316663867264,156.94209,2.4885474e-05,1.81696784,1.3841196650000002e-05,269.5156,2.524425,45.998920000000005,18.167450000000002,47.801390000000005,2.00977,1.3232375,0.289192,743.359095,1459.7888130000001,7514.580577000001,22543756.0,4.976181999999093e-08,145.53002999999998,140.68985,319.107162,319.107162,520.4917166000001,194.0,0.11794633000000002,0.0001234713,13.011149999999999,8.42497,105.36390931998649,1.2216464497550716,9701.636014726686,50862.8405564239,9698.778763782551,50862.8405564239,4.44077437538631,0.02590336579006558,0.146013013071,619.4359525103999,20568.5001026236,0.04047570370970703,256.86791643189997,3.173440195323999e-12,1.0468421861657344,1.2867681852387775e-12,1919.82711664,0.060465919374999996,25.108478833600003,27.4959504975,160.4720640679,0.0096745471,0.004703617593749997,8.476451187136,1334.8727758809744,3949.226120751029,907170.0189702469,5677590212464.0,2.679267950287717e-15,43.9502781991,38.3502969775,138.48246346575596,138.48246346575596,54.98946414928441,0.0,0.056100461229531114,1.020267507631e-08,19.552385677499995,3.9811704991,450,24.0,1.5,17.17
788,26.6415842068,1.98900222,648.9894056,1104.4331900000002,921.9956336000001,1377.4331900000002,33.156621300000005,5.03485812,8.670327,130.08836000000002,986.7054200000001,24.8316663867264,156.94209,2.4885474e-05,1.81696784,1.3841196650000002e-05,269.5156,2.524425,45.998920000000005,18.167450000000002,47.801390000000005,2.00977,1.3232375,0.289192,743.359095,1459.7888130000001,7514.580577000001,22543756.0,4.976181999999093e-08,145.53002999999998,140.68985,319.107162,319.107162,520.4917166000001,194.0,0.11794633000000002,0.0001234713,13.011149999999999,8.42497,105.36390931998649,1.2216464497550716,9701.636014726686,50862.8405564239,9698.778763782551,50862.8405564239,4.44077437538631,0.02590336579006558,0.146013013071,619.4359525103999,20568.5001026236,0.04047570370970703,256.86791643189997,3.173440195323999e-12,1.0468421861657344,1.2867681852387775e-12,1919.82711664,0.060465919374999996,25.108478833600003,27.4959504975,160.4720640679,0.0096745471,0.004703617593749997,8.476451187136,1334.8727758809744,3949.226120751029,907170.0189702469,5677590212464.0,2.679267950287717e-15,43.9502781991,38.3502969775,138.48246346575596,138.48246346575596,54.98946414928441,0.0,0.056100461229531114,1.020267507631e-08,19.552385677499995,3.9811704991,450,24.0,1.5,16.94
725,31.1776067276,2.3624212,625.3610230000002,1155.2061,898.3764880000001,1428.2061000000003,33.70662600000001,5.0715729000000005,8.594105,135.5267,941.3301,24.8843931408684,151.94573000000003,2.4961549999999998e-05,2.1624568,1.3727230750000002e-05,260.2298,2.4957000000000003,47.808400000000006,19.656999999999996,50.5871,2.1055,1.360395,4.56654,746.36484,1466.4940200000003,7241.205889999999,21798898.0,6.378689999999175e-08,145.06279999999998,139.80240000000003,323.21095399999996,334.39353199999994,525.8251170000001,191.99110000000002,0.28228710000000007,0.00021344200000000002,14.863600000000002,9.081800000000001,446.32952878115316,3.03243885379056,14517.760595983473,110207.57982279,14509.021307025858,110207.57982279001,9.511085636124001,0.046766176885589955,0.4316864989749999,1222.1272871100002,48922.119333990006,0.07791690830653958,653.7736057671002,2.4378645974999998e-12,2.6105457473337603,2.047937950529438e-12,3430.72859196,0.17158151,93.01548944,139.28535100000002,443.76981359,0.19856975000000002,0.022910653974999994,466.14655842839994,1722.6207117743988,4806.959526239599,1894835.4922823077,14446045545596.0,2.413492948839034e-14,8.91425616,23.880354240000003,3398.221961069885,6124.148835084975,1542.7374332863105,119.74122079,1.7670809364735904,6.658732926360001e-07,75.08899504,9.38850876,360,25.0,3.75,18.2
