,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex ,Ra_ex,R_ex,UTS
183,31.129228462000004,2.099388,679.64314,1208.998,952.6464400000001,1481.998,34.4078,5.196470000000001,8.772899999999998,138.386,974.848,25.413613129648002,153.34799999999998,2.4094400000000004e-05,1.9225200000000002,1.4171914000000002e-05,272.86,2.62924,45.286,17.608,46.410000000000004,2.06,1.3117200000000002,2.91,730.5382,1444.4444000000003,7358.198600000001,22052960.0,1.0422199999999081e-07,148.86999999999998,143.20999999999998,323.4513,323.4513,522.16708,194.372,2352.072386,0.3508585,14.688000000000002,8.148,818.757333648533,1.9954833934560003,20753.0384887404,234627.65799600002,20752.189070126402,234627.65799600002,58.26570515999998,0.7790797490999997,0.14203059000000007,1723.433004,31320.208896,7.6660695962667145,1104.8988960000001,1.121208864e-11,1.7651554296000003,2.070770978603999e-12,2833.1604000000007,0.31605822240000003,20.052204000000003,8.562336,50.001900000000006,0.056400000000000006,0.0028138416000000003,133.20690000000002,1540.7535207600006,6149.006588640001,1893348.0171380402,25883414438400.0,7.210117671600111e-14,365.5731,148.7259,195.38758731000004,195.38758731000004,324.5604950735999,11.393616,109715755.50745888,2.4348291253027496,125.818656,1.026096,500,12.0,3.71,322.0
50,22.526992016599998,1.639515,599.306822,1166.9053000000001,872.328287,1439.9053000000001,32.143046,4.9433034000000005,8.14118,135.8297,1299.8432,24.777386800606397,153.85679999999996,2.7089070000000003e-05,1.4941052000000001,1.3744758300000001e-05,234.31,2.2988,42.1831,15.8748,41.343050000000005,1.9223,1.282707,8.033610000000001,708.27907,2114.05193,8024.19264,22113340.0,4.941979999999144e-08,146.6669,138.95589999999999,326.94889200000006,326.94889200000006,498.43935400000004,198.88210000000004,7.9779806,0.003487306,11.058900000000001,7.3332,35.6131029391725,0.20596822057500005,23604.579793500317,77812.10353191,23591.15320723563,77812.10353191,1.7750360618840006,0.018884244748440044,3.6031742075999995,1063.99169791,647747.3634137599,0.005245073918664891,787.8444937600001,4.5365333535100005e-11,0.15937658213296002,5.614924024811104e-13,5412.793900000001,0.37088356,151.35417439000003,19.843284960000002,186.2022316975,0.14146271,0.014241882151000007,390.4625813679,5230.5177529351,3376650.818044276,2592832.9969158303,22846630044400.0,4.151277679600928e-16,78.31694439,28.57675519,287.673327852336,287.673327852336,3138.9926271826853,143.12019959000003,498.42847499022366,7.0253734022364e-05,9.03983079,3.5737777600000005,260,18.0,3.0,194.0
390,38.53871,2.3892,714.17,1323.1,987.1700000000001,1596.1,36.6843,5.39302,8.756,146.87,932.7000000000002,25.9054584,143.79,2.3112e-05,2.20846,1.465531e-05,279.35,2.6723000000000003,44.05,17.37,45.67999999999999,2.1100000000000003,1.2961000000000003,5.5,720.018,1415.923,7105.2029999999995,20579600.0,1.623599999999911e-07,153.87,147.2,325.6986,325.6986,545.419,194.0,3921.52607,0.584419,17.6,8.08,1642.8978607058998,3.4483635999999995,35176.9611,440115.39,35176.9611,440115.39,130.71365450999997,1.3421068395999995,0.2088640000000001,2889.7131,61717.71,12.377254175581445,2126.7859,2.3054656e-11,3.1607272684000005,3.656137233899999e-12,4234.3275,0.57205171,8.0875,1.8931,8.0176,0.0979,0.0016417900000000028,244.75,2608.9808760000014,10154.194171000003,3186243.1968909996,47414295840000.0,1.228502704000021e-13,652.4731,311.55999999999995,183.31836204000018,183.31836204000018,12690.491043000002,0.0,176701705.31584275,3.9216580713390004,254.08000000000004,0.07359999999999998,0,0.0,3.71,230.0
808,31.346848131999998,2.4640184,663.645429,1173.0519,936.6618239999999,1446.0519,34.030118,5.1016887,8.794064999999998,139.68429999999998,922.4804,24.904406644336003,150.1362,2.4766839999999997e-05,2.2547058,1.36030379e-05,290.28600000000006,2.5975,47.5623,20.292199999999998,52.669500000000006,2.0532,1.3452140000000001,1.3177,751.3380300000001,1472.30888,7085.4870900000005,21525920.0,6.402349999999258e-08,147.19989999999999,140.62130000000002,316.10694700000005,316.10694700000005,519.3929880000002,194.0,0.20824389999999998,0.00016928899999999998,15.0346,9.1462,301.90531057644694,3.1713182606614403,45269.106871775955,279295.15580639,45261.104517313026,279295.15580639,10.906140206076,0.06416515079230996,2.5194610257750005,4348.34643351,54892.82281584,0.09997942633404681,851.2404495600001,1.3367062414399998e-11,2.6947208006463597,3.2639707730635903e-12,6435.928604000001,0.23424375000000003,62.498918710000005,68.69221916,390.81606975,0.07876976,0.01160161420399999,43.97921671,3530.1540387190976,10543.027883145596,2495882.1262363316,18933912153600.0,8.492755947750332e-15,160.30953999,115.27388631,348.34435186919086,348.34435186919086,140.91734691185593,0.0,0.13338095061278998,2.7739884479e-08,55.41640284,9.69782556,300,81.0,25.0,344.4
123,26.994663984999995,1.8560399999999997,686.1032,1196.46,959.1047,1469.46,33.1401,5.03599,8.827199999999998,139.865,988.0149999999999,24.85770631084,155.23,2.42025e-05,1.69712,1.4239305e-05,272.50499999999994,2.59875,45.01,17.401999999999997,45.885000000000005,2.05,1.3078499999999997,1.62085,729.8504999999999,1442.0055,7438.611499999999,22332000.0,6.480999999999049e-08,147.655,142.935,324.7216,324.7216,522.1867000000001,194.46499999999997,0.115215,0.00041995,13.13,8.04,161.01202502443775,0.2944879584000001,29576.98397376,213263.8584,29576.906846910002,213263.8584,5.871522989999997,0.041168979899999965,0.3155481600000002,2675.2767750000003,20719.484775,0.11438912729499666,859.4571000000001,7.76874375e-12,0.27584629560000007,2.190164721975001e-12,4192.479975,0.2436859375,14.169899999999998,4.349196000000001,23.031775,0.0475,0.001699877500000001,50.5098297775,1062.8493997500007,4661.14571975,1525816.17031775,19961376000000.0,1.0637723900000398e-14,191.80597500000002,102.420775,415.99595244000017,415.99595244000017,248.84288810999973,14.198775,0.057479598775,8.8477004975e-06,28.213099999999997,0.0384,0,0.0,0.2,236.0
338,24.378089753999998,1.7361206664,650.7136199999999,1091.585652,923.5778843999999,1364.4499164000001,32.701924476,4.9995001943999995,8.694810359999998,128.0821584,1017.392256,24.78146370228,160.136448,2.477416944e-05,1.5821000351999999,1.4041161355199999e-05,259.36852799999997,2.494707,44.826426,16.9397076,44.842625999999996,1.9990055999999998,1.307674668,0.012798000000000002,736.5345555600001,1448.33009196,7713.62568156,23020964.4,4.3924123199990004e-08,145.19250599999998,141.1188948,322.06508863199997,322.06508863199997,521.024823024,194.0709432,0.0649504764,0.00010140828000000001,12.0372336,7.996022399999999,1.3363413899913317,0.00019057193978056424,198.0948378715577,834.0401757685898,198.20108324779466,834.2059280592465,0.4276017491155369,0.002931369914802046,0.00015619127463856235,3.919389257149223,812.9746935532718,0.0014845085351793332,8.599663263806208,3.37194609692086e-14,0.00022853542972870467,7.571639834476862e-13,46.468908148059896,0.0030226286195198775,4.211224176267476,0.4950462500574969,3.357263281934475,9.883397130481518e-07,0.0005165592689298421,0.030167389760206654,117.61781170258497,501.1232020262877,42734.75677066112,193480794424.94333,5.375597318542588e-19,12.900565959319954,6.584186710661034,303.99509633797896,303.99509633797896,7.724959637184357,5.170678651889655,0.0007233921584010263,3.9153572200522796e-10,0.34376866864023026,1.581343540877043e-05,0,0.0,3.71,175.0
251,30.460346155,2.1552,622.9207,1221.7599999999998,895.9357,1494.76,33.3143,5.03657,8.644499999999999,142.58,962.02,24.843007924120002,156.27,2.4635e-05,1.9819500000000003,1.395121e-05,248.53,2.4475,46.96,17.59,46.68,2.1500000000000004,1.3614,7.712999999999999,732.835,1462.1720000000003,7256.684,22556000.0,4.7569999999991095e-08,144.15999999999997,140.09,322.7508,338.6502,521.0581000000001,191.75,0.11188999999999999,0.0010075000000000001,14.490000000000002,8.7,513.9364272123862,2.0083545599999995,10288.02228651,181404.0624,10280.71290051,181404.0624,8.799294510000001,0.04398672509999997,0.3085447499999998,2179.6236,39724.779599999994,0.061756359060701975,689.7771,8.214750000000001e-13,1.8624983475,1.0155866859000007e-12,2727.0890999999997,0.05911875,41.3784,8.9019,57.1176,0.24749999999999997,0.026564039999999994,685.494531,1081.6584750000002,4776.493416,2048333.3263439997,18505464000000.0,2.6058510000006656e-16,21.2544,15.021899999999999,238.55318135999994,4053.9162999599985,642.9390273899998,192.3075,0.027845397900000006,2.599936874999999e-05,83.7099,6.51,0,0.0,0.2,262.5
772,31.1776067276,2.3624212,625.3610230000002,1155.2061,898.3764880000001,1428.2061000000003,33.70662600000001,5.0715729000000005,8.594105,135.5267,941.3301,24.8843931408684,151.94573000000003,2.4961549999999998e-05,2.1624568,1.3727230750000002e-05,260.2298,2.4957000000000003,47.808400000000006,19.656999999999996,50.5871,2.1055,1.360395,4.56654,746.36484,1466.4940200000003,7241.205889999999,21798898.0,6.378689999999175e-08,145.06279999999998,139.80240000000003,323.21095399999996,334.39353199999994,525.8251170000001,191.99110000000002,0.28228710000000007,0.00021344200000000002,14.863600000000002,9.081800000000001,446.32952878115316,3.03243885379056,14517.760595983473,110207.57982279,14509.021307025858,110207.57982279001,9.511085636124001,0.046766176885589955,0.4316864989749999,1222.1272871100002,48922.119333990006,0.07791690830653958,653.7736057671002,2.4378645974999998e-12,2.6105457473337603,2.047937950529438e-12,3430.72859196,0.17158151,93.01548944,139.28535100000002,443.76981359,0.19856975000000002,0.022910653974999994,466.14655842839994,1722.6207117743988,4806.959526239599,1894835.4922823077,14446045545596.0,2.413492948839034e-14,8.91425616,23.880354240000003,3398.221961069885,6124.148835084975,1542.7374332863105,119.74122079,1.7670809364735904,6.658732926360001e-07,75.08899504,9.38850876,360,25.0,3.71,293.0
374,22.749095999999998,1.6302112,607.936384,1112.5792,880.949824,1385.5792,32.35192,4.9652064000000005,8.18928,129.7024,1248.48,24.78972912,153.28,2.6699520000000002e-05,1.4879488,1.38931456e-05,239.392,2.32976,41.953599999999994,15.853119999999999,41.407039999999995,1.9103999999999999,1.2804320000000002,5.34016,718.212,1974.62704,8098.47408,21924800.0,4.8479999999990896e-08,146.9712,139.8352,323.63337599999994,323.63337599999994,505.840832,197.13600000000002,6.4189552,0.00206224,11.1936,7.4624,24.597435702783997,0.11805150099456001,17977.837376364543,5180.13812736,17966.350796929026,5180.13812736,1.0280091136000005,0.010927037399040032,2.6502690815999994,29.44743424,530420.8895999999,1.9095152025599672e-05,458.84159999999997,3.66616477696e-11,0.09374105337856002,8.387183960064014e-14,4315.150336,0.2944743424,94.29704704,13.364730265599999,131.1683344384,0.08157184,0.008883173376000003,289.75622717440007,3858.857856,2789111.4304528385,1359408.8491841536,11746344960000.0,2.0392960000008154e-16,39.48077056,13.78564096,73.708608282624,73.708608282624,2359.645452107777,99.925504,410.474227517993,3.9122670182399996e-05,6.607319039999999,2.9365862399999996,250,32.0,0.5,167.6
388,38.53871,2.3892,714.17,1323.1,987.1700000000001,1596.1,36.6843,5.39302,8.756,146.87,932.7000000000002,25.9054584,143.79,2.3112e-05,2.20846,1.465531e-05,279.35,2.6723000000000003,44.05,17.37,45.67999999999999,2.1100000000000003,1.2961000000000003,5.5,720.018,1415.923,7105.2029999999995,20579600.0,1.623599999999911e-07,153.87,147.2,325.6986,325.6986,545.419,194.0,3921.52607,0.584419,17.6,8.08,1642.8978607058998,3.4483635999999995,35176.9611,440115.39,35176.9611,440115.39,130.71365450999997,1.3421068395999995,0.2088640000000001,2889.7131,61717.71,12.377254175581445,2126.7859,2.3054656e-11,3.1607272684000005,3.656137233899999e-12,4234.3275,0.57205171,8.0875,1.8931,8.0176,0.0979,0.0016417900000000028,244.75,2608.9808760000014,10154.194171000003,3186243.1968909996,47414295840000.0,1.228502704000021e-13,652.4731,311.55999999999995,183.31836204000018,183.31836204000018,12690.491043000002,0.0,176701705.31584275,3.9216580713390004,254.08000000000004,0.07359999999999998,0,0.0,3.71,227.0
