,AW,D,MP,BP,AMP,ABP,S,H,HF,HV,Cs,Cm,K,TE,D.1,MV,H2,H1,M1,M2,M3,VEC,P,Eea,I1,I2,I3,C,R,Rm,Rc,A1,A2,A3,SGN,NCS,NMA,AN,SEN,∆AW,∆D,∆MP,∆BP,∆AMP,∆ABP,∆S,∆H,∆HF,∆HV,∆Cs,∆Cm,∆K,∆TE,∆D.1,∆MV,∆H2,∆H1,∆M1,∆M2,∆M3,∆VEC,∆P,∆Eea,∆I1,∆I2,∆I3,∆C,∆R,∆Rm,∆Rc,∆A1,∆A2,∆A3,∆SGN,∆NCS,∆NMA,∆AN,∆SEN,T_ex,Ra_ex,M_Co,Cn_Co,E corr (V)
730,36.6275,3.3585999999999996,580.8589999999999,1035.1,853.9039999999999,1308.1,35.358,5.1957,8.294999999999998,125.3,830.4,24.964001999999997,148.0,2.6419999999999998e-05,3.0798,1.25359e-05,305.6,2.5,52.49999999999999,24.799999999999997,63.9,2.0,1.412,0.0,788.31,1535.48,6562.789999999999,21199999.999999996,4.8499999999995994e-08,144.1,135.29999999999998,304.60499999999996,304.60499999999996,513.1600000000001,193.99999999999997,0.3741,0.000235,17.4,11.0,354.3026812499999,6.12813684,11154.448389000003,7032.689999999999,11139.933504000004,7032.689999999999,16.859136000000003,0.09119900999999994,0.38272499999999976,17.009999999999998,83879.04000000001,0.06975523707599958,336.0,6.123599999999998e-12,5.22064116,4.892985089999999e-12,4851.84,0.0,131.25,141.95999999999998,833.4899999999999,0.0,0.024275999999999978,0.0,5976.534899999995,16771.17959999999,3193608.618899999,7560000000000.0,4.7250000000126e-17,1.8900000000000001,75.81,622.6085249999996,622.6085249999996,146.36160000000038,8.077935669463161e-28,0.22582749000000008,4.2525000000000005e-08,68.04,21.0,0,0.0,1,0.0,-1.404
848,30.982052683000003,1.9924172,663.8941,1226.5586,936.134,1498.7396,34.005027000000005,5.0814868,8.53254,143.6368,968.3475000000001,24.851929685685004,150.8617,2.397757e-05,1.8358164000000001,1.4449589300000001e-05,265.2867,2.4925,43.8637,16.7723,44.3938,2.0529,1.293701,2.8272,723.73046,1423.7479700000001,7363.02854,21670540.0,7.720539999999062e-08,147.51000000000002,144.46439999999998,323.29089400000004,323.29089400000004,560.3533080000001,193.418,0.5880223,0.00022928,14.614500000000001,8.0349,727.858972734697,1.0768789710475923,4014.25075714557,312355.80716833804,4048.054446132,312362.5032260156,32.81645423545881,0.15516533953003722,0.3198784318451999,4100.405494817281,37728.94110148124,0.29759438428311485,1197.7838155293302,8.9439383057853e-12,1.0516169535275135,4.116994861009485e-12,588.5898035193301,5.608124999999761e-05,16.03384977693,0.5013225681299999,3.56469312468,0.05545839477,0.0024591457667969994,127.68856098048,2212.6839099929657,8177.597843641739,1918179.2845529045,25384543196725.203,1.7754295789473146e-14,138.74729969999999,241.59944403792002,176.35929141080615,176.35929141080615,26642.98834793751,0.3377078279999926,4.406635342926818,2.6823497364479997e-07,112.22813891925001,0.056003135969999986,0,0.0,0,0.619990257295957,-1.597
92,24.305,1.738,650.0,1090.0,923.0,1363.0,32.67,4.998,8.7,128.0,1020.0,24.7911,160.0,2.48e-05,1.584,1.3984e-05,260.0,2.5,45.0,17.0,45.0,2.0,1.31,0.0,737.7,1450.7,7732.7,23000000.0,4.399999999999e-08,145.0,141.0,320.94,320.94,521.08,194.0,0.063,0.0001,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.613,-1.715
497,26.0300048676,1.9574327999999999,653.149826,1103.7253,926.1534559999999,1376.7253,32.988313,5.020139199999999,8.7209,129.4086,995.4026999999999,24.8320315696804,156.66692999999998,2.4848129999999995e-05,1.7758394000000002,1.380012645e-05,262.86679999999996,2.541594,46.5361,18.955099999999998,48.4871,2.0286,1.320848,0.13999999999999999,740.9464999999999,1457.1410300000002,7564.787069999999,22506178.0,6.610419999999063e-08,145.30459999999997,140.68240000000003,327.10491699999994,327.10491699999994,527.061009,194.2967,0.3958763,0.00024719,12.737699999999998,8.306499999999998,90.23634510766286,1.1597073478841597,6243.177181949724,24096.97883991,6241.481633336065,24096.97883991,6.178459284031,0.023596158823359994,0.31206069,178.17884604,14765.53853271,0.05547834222913908,384.08708537510006,1.4742365030999999e-12,0.88954380100764,1.2187167028353974e-12,603.80665776,0.160811059164,85.80109678999999,149.39568398999998,385.91083359,0.05358204,0.0035038008959999978,6.9804,800.7644477499995,2407.326177539099,687175.004289815,8370778592316.001,3.174410854236042e-14,13.84621884,18.76693024,4235.146893453111,4235.146893453111,2964.049774871919,6.73606911,8.881055591998312,1.1832996039000001e-06,15.927898710000001,2.64855775,350,14.7,1,0.0,-1.469
638,45.3516223,2.7190157,757.7481,1439.0928,1030.7481,1712.0928000000001,38.242137,5.6440528,8.943069999999999,157.1823,895.3995999999999,26.8220139804,136.2133,2.2325699999999995e-05,2.5088584000000003,1.49115937e-05,298.856,2.920121,43.8871,17.8347,46.63739999999999,2.1631,1.292827,7.96652,714.7758699999999,1406.13607,6815.171869999999,19450639.0,2.420183999999916e-07,158.9848,149.7273,327.632054,327.632054,530.0196900000001,194.0,7678.353515100001,1.1439961220000001,20.238,8.1631,2340.944030973843,5.06237765145351,61917.289246390006,644484.17218816,61917.289246390006,644484.17218816,165.78265356323092,2.2330903012121595,0.6898679751000003,4711.42046671,81572.82511984,22.150942622472705,2973.15040311,3.220820351e-11,4.502027474349441,4.6294879692203085e-12,8002.851264000001,0.9273765753589999,6.51975359,4.03997591,14.53772124,0.14289839000000001,0.0016024380710000028,333.6900310896,2767.850878743103,10465.327293955104,4423207.397689703,66196881921679.01,2.0844100766144335e-13,1029.8173689599998,401.55093471,240.40726410108428,240.40726410108428,432.55105786389925,0.0,317279587.30059415,7.041815882643882,358.360956,0.14289839000000001,0,0.0,0,0.00170957266666838,-1.54
131,24.99195035945,1.8207876,652.758973,1136.7230999999997,925.7643429999999,1409.7231000000002,32.731104,4.999878100000001,8.756759,133.1877,1005.2092,24.795249334312796,161.88183000000004,2.4752070000000004e-05,1.6545821,1.397091145e-05,259.345,2.50735,45.914300000000004,17.62604,46.3038,2.0339000000000005,1.3176830000000002,1.225297,732.50072,1459.3302600000002,7512.56076,23388998.0,4.7991099999990466e-08,144.90650000000002,140.7444,327.651805,327.651805,519.181616,195.3439,0.1189569,0.000970972,12.3092,8.0915,18.700930381108428,0.33959443648624,1917.422026355271,60223.99982639,1916.947783548351,60223.999826390005,2.194679161184001,0.016369652840389992,0.182272025919,772.8294687099999,6065.99063536,0.01701957198257361,255.0675568511,4.131877151e-13,0.25985889645959004,2.601628628383898e-12,308.974575,0.044595977499999995,57.56355551,39.062769918399994,122.49750556000002,0.03855079,0.0047860415110000006,49.32785365179101,1201.0282594816008,5535.5082243324,930266.6670662223,8372487315996.0,7.017512420790081e-15,52.74095775,30.013468640000003,1860.7495733919754,1860.7495733919754,796.7774154485442,39.321232789999996,0.51585837264239,2.4560599015215995e-05,3.75579536,0.83412775,0,0.0,0,1.026,-1.465
458,25.0681788904,1.8754997,652.9917275,1224.0820999999996,926.0062399999999,1497.0820999999999,32.4244705,4.96861395,8.8821125,143.32145,999.8621499999999,24.768334483126598,166.445945,2.4649614999999996e-05,1.6992285999999996,1.3691793675e-05,258.5636,2.5249750000000004,47.89249999999999,18.18305,47.8613,2.0957,1.336879,3.8486999999999996,722.883585,1482.6607049999998,7216.48163,24305717.0,4.6815849999991065e-08,143.08535,139.41604999999998,332.13774599999994,332.13774599999994,511.8826845,197.16555,0.1266952,0.0028201075000000003,12.328549999999998,8.08175,16.612873637188144,0.35535215789991004,1740.176223640744,170271.18805959,1739.9032932624,170271.18805958997,2.9972804296297513,0.026393068215397504,0.39710541234374996,2247.4623198974996,5848.969847377501,0.025211184950897404,557.6063695569751,5.242028517750001e-13,0.26559091734204,3.042512784592495e-12,272.30235504,0.04553874937500001,106.21344375000001,41.6106426975,147.81936230999997,0.09224151,0.009282979359000002,147.80617730999995,2502.270510047776,12515.394702402977,2212155.1200385424,20575566655910.996,6.923987338777552e-15,86.7444653775,48.1892523975,2022.7506742794842,2022.7506742794842,1538.6515769584607,87.58694319749999,0.5065213338969601,7.325564506344373e-05,3.2907048974999995,0.7395669375,0,0.0,1,0.0,-1.573
106,25.670991365320003,1.88119618,652.7685818,1100.22953,925.7637033,1373.22953,33.0344655,5.026782600000001,8.697049800000002,128.9237,995.6278100000001,24.822396202628276,159.07235100000003,2.4840409999999998e-05,1.7099484200000001,1.4086639585000002e-05,260.8918,2.5058549999999995,45.402,17.964528000000005,46.71998,2.0123,1.3122369,0.06257140000000001,738.0536800000002,1450.6983870000001,7566.788636,22863648.6,5.351580999999048e-08,146.03406,141.30911,328.1216696,328.1216696,523.5777744000001,194.77102000000002,0.17237122,0.00016448540000000002,12.617960000000002,8.23825,44.599930032877985,0.7863879666334076,3994.9726420007087,9571.259505979098,3994.68383801857,9571.259505979098,3.1684351343097505,0.01933923773723998,0.17095884831996,68.52283831,12594.0028126039,0.02498593869430091,209.126746032799,8.056488318999998e-13,0.6180841246595037,3.618681001180527e-12,697.24915276,0.085351968975,63.143396,78.952312937216,233.4086087996,0.024688709999999996,0.004756507278389999,1.6637291179020404,1038.3511338576,3589.8924618982296,573782.6437250595,4579640627718.04,1.452576977004409e-14,49.70045991640001,32.4129210079,3127.7590068724357,3127.7590068724357,894.2579687427043,22.329788159600003,1.0725619655757115,4.073551511868399e-07,8.780525438399998,2.1749869375,0,0.0,0,0.148,-1.51
93,24.305,1.738,650.0,1090.0,923.0,1363.0,32.67,4.998,8.7,128.0,1020.0,24.7911,160.0,2.48e-05,1.584,1.3984e-05,260.0,2.5,45.0,17.0,45.0,2.0,1.31,0.0,737.7,1450.7,7732.7,23000000.0,4.399999999999e-08,145.0,141.0,320.94,320.94,521.08,194.0,0.063,0.0001,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.613,-1.712
90,24.305,1.738,650.0,1090.0,923.0,1363.0,32.67,4.998,8.7,128.0,1020.0,24.7911,160.0,2.48e-05,1.584,1.3984e-05,260.0,2.5,45.0,17.0,45.0,2.0,1.31,0.0,737.7,1450.7,7732.7,23000000.0,4.399999999999e-08,145.0,141.0,320.94,320.94,521.08,194.0,0.063,0.0001,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.613,-1.72
260,24.874047685700003,1.8677864,650.9204090000001,1218.6329,923.894659,1491.6328999999998,32.333850000000005,4.961185900000001,8.885214999999999,142.84390000000002,1004.7224400000002,24.761826611932797,166.13666,2.466419e-05,1.6937676000000002,1.3589562980000004e-05,259.54879999999997,2.5291,48.06680000000001,18.1455,47.89039999999999,2.0938,1.339477,3.85802,724.3725100000001,1485.1021000000003,7255.8537,24255316.0,4.5426199999991024e-08,142.60530000000003,139.10680000000002,329.198224,329.198224,511.458449,196.79850000000002,0.111054,0.002779635,12.2319,8.071,15.471702982818574,0.31049349237504,1088.805209022719,168056.67713758998,1094.2976672237191,168056.67713758998,2.098454077500001,0.02003636874119001,0.432955153775,2235.3111327899996,4058.7492964464,0.019810829902762568,527.6285260444,5.255006439000001e-13,0.23933485299024,1.4941441481355203e-12,231.14821855999998,0.02734069,94.23733776,29.50692975,116.80378784,0.09100156,0.008206436471,154.0426836796,2267.4705852999014,11236.26239559,2123419.8438263093,19862637660144.0,4.436986753560027e-15,59.717511909999985,34.075993759999996,1166.8792516058238,1166.8792516058238,1513.5593619243998,79.25149775,0.33828257708400006,7.251114201677499e-05,2.80992239,0.659959,0,0.0,0,0.155243343941629,-1.581
